,datetime,text,user,location
42,2020-06-21 17:50:59,"@_katytate @WaltDisneyWorld @shopDisney @ShopFloridaMall The girls look so blooming adorable in them. So grown up,… https://t.co/Awj48zDaGI",amylaurenhills,"North East, England"
43,2020-06-21 17:50:11,@amylaurenhills @WaltDisneyWorld I know! I saw them in @shopDisney in the @ShopFloridaMall and had to have them!,_katytate,"England, United Kingdom"
44,2020-06-21 17:31:45,@hecallsmePP @shopDisney @H2OPlusUSA I've always wanted to have this product line🥺,Savydoesdisney,Discovery island  
45,2020-06-21 17:07:01,@shopDisney Nooooooooooooooooooooooooooooooope,DizzyLilDreamer,
46,2020-06-21 17:01:12,"@hecallsmePP @shopDisney @H2OPlusUSA Totally interested. Will add it to my wish list 
😁",RebelHeart1989,
47,2020-06-21 16:55:58,@RebelHeart1989 @shopDisney @H2OPlusUSA It’s available still on the site if you are interested in buying in shop Disney,hecallsmePP,"Baltimore, MD"
48,2020-06-21 16:55:20,@hecallsmePP @shopDisney @H2OPlusUSA Omg so cute! I wish it wasn't limited!,RebelHeart1989,
49,2020-06-21 16:42:51,"Flip your fins this way! 

I am currently spending a week trying out The Little Mermaid limited release collection… https://t.co/9P68fyks9Q",hecallsmePP,"Baltimore, MD"
50,2020-06-21 16:38:10,Okay dumb. This is so cute and why? https://t.co/3O9sO1SMMp,BeWritten_7,
51,2020-06-21 16:37:37,Take my money🥺🥺🥺 https://t.co/g9HtCebmIP,SuiiChiina,Puerto Rico
52,2020-06-21 16:22:50,"@shopDisney I want Prince Hans and Ben Solo merch, please!!!",KyloElsa,
53,2020-06-21 16:00:25,Love a (ShopDisney) Disney Store delivery 😁🙈❤ https://t.co/zRC1cZEYFK,Megan_Ant,"North Wales, UK 🏴󠁧󠁢󠁷󠁬󠁳󠁿"
54,2020-06-21 16:00:01,"Shop the Toy Savings Event now @shopDisney! Amazing deals on all playtime favorites! Online only through Tuesday, J… https://t.co/sUnu6Qq0t2",CoffeeWthKenobi,United States
55,2020-06-21 15:56:03,It's good to be bad! Here's our top shopDisney picks for fans of Disney Villains. https://t.co/ZiL4uYQDxc https://t.co/vkq8pW7twZ,TouringPlans,"Walt Disney World, FL"
56,2020-06-21 15:45:24,@shopDisney hello! I need help@witj an order placed in May that I have not received.,heyyoungworld96,757
57,2020-06-21 15:36:45,#WeekendRewind: he new Dooney &amp; Bourke styles designed by Tyler Dumas celebrate Mickey and Minnie Mouse and are ava… https://t.co/G7o05I1Xfy,laughing_place,"Orlando, FL"
58,2020-06-21 15:36:04,@shopDisney Not for those prices .,BriiSupreme,
59,2020-06-21 15:33:27,@shopDisney Not buying anything from Pedo trafficking Disney,Savoiefair64,USA
60,2020-06-21 15:32:41,@shopDisney I see a all black one in Target for Cameron I love it 🥰,MyaFendi,"Atlanta, GA"
61,2020-06-21 15:26:52,"Available now!

https://t.co/mI8ZZp32qM https://t.co/LrLtRi19Gs",PopCulturePinCo,
62,2020-06-21 15:24:31,When you get told you have to wait another month for three Disney masks that you don't even know if will fit when t… https://t.co/MPD58rzPqy,KMort91,New Jersey
63,2020-06-21 15:22:49,@Disney @shopDisney  @PremiumOutlets pt 2 and now have a severe concussion so I can’t drive when #Disney decides to… https://t.co/NBDndOmAeO,ARobertson086,"Cincinnati, OH"
64,2020-06-21 15:22:22,@Disney @shopDisney  @PremiumOutlets So you so everything is available online I have yet to be able to find this St… https://t.co/8FtfWQiuV5,ARobertson086,"Cincinnati, OH"
65,2020-06-21 15:11:18,@shopDisney Hi none of these products are delivered to India please help me to purchase and get them here in my country,Amrutha27636406,
66,2020-06-21 15:03:34,@shopDisney Hi I've been looking for toy story charecters for purchase. Please suggest how can I purchase the origi… https://t.co/CHtYHtYp6M,Amrutha27636406,
67,2020-06-21 14:51:05,@intuTrafford Very disappointing visit today. Why bother with the social distancing arrows when so many people igno… https://t.co/I2V4lKpKuF,Karen1410,Warrington
